GEO_ID,NAME,B01003_001E
37083,"Halifax County, North Carolina",433
37179,"Union County, North Carolina",4521
37189,"Watauga County, North Carolina",468
37071,"Gaston County, North Carolina",2932
37097,"Iredell County, North Carolina",3732
37045,"Cleveland County, North Carolina",954
37057,"Davidson County, North Carolina",2074
37063,"Durham County, North Carolina",13238
37081,"Guilford County, North Carolina",22445
37085,"Harnett County, North Carolina",1462
37021,"Buncombe County, North Carolina",2678
37025,"Cabarrus County, North Carolina",4756
37037,"Chatham County, North Carolina",937
37089,"Henderson County, North Carolina",1173
37001,"Alamance County, North Carolina",2291
37023,"Burke County, North Carolina",3255
37031,"Carteret County, North Carolina",839
37159,"Rowan County, North Carolina",1257
37183,"Wake County, North Carolina",59211
37101,"Johnston County, North Carolina",1215
37133,"Onslow County, North Carolina",3348
37093,"Hoke County, North Carolina",672
37105,"Lee County, North Carolina",634
37167,"Stanly County, North Carolina",1164
37147,"Pitt County, North Carolina",2958
37049,"Craven County, North Carolina",2576
37119,"Mecklenburg County, North Carolina",51167
37129,"New Hanover County, North Carolina",2948
37019,"Brunswick County, North Carolina",741
37035,"Catawba County, North Carolina",5868
37155,"Robeson County, North Carolina",1019
37067,"Forsyth County, North Carolina",7439
37135,"Orange County, North Carolina",10119
37151,"Randolph County, North Carolina",1432
37051,"Cumberland County, North Carolina",7809
37191,"Wayne County, North Carolina",1438
